Dashboard Area,Test Description,Status,Pass/Fail,Notes
Partner Outreach,Add/edit/delete prospect entries,Not Started,,
Partner Outreach,Update statuses (Contacted → In Discussion → Closed),Not Started,,
Partner Outreach,Verify conversion % accuracy,Not Started,,
Partner Outreach,Add 50+ entries for pagination/stability,Not Started,,
Launch Analytics,Display business activation metrics and trends,Not Started,,
Launch Analytics,Verify forecast projections with multiple active deals,Not Started,,
Launch Analytics,Test real-time metric updates using mock data,Not Started,,
Student Acquisition,"Track new signups, ambassador referrals, QR scans",Not Started,,
Student Acquisition,Validate viral coefficient (K-factor) logic,Not Started,,
Student Acquisition,Simulate bulk ambassador invites for system load,Not Started,,
Mobile Optimization,Verify mobile responsiveness on different devices,Not Started,,
Mobile Optimization,Check UX/bounce rate tracking,Not Started,,
Mobile Optimization,Validate mobile-specific load times and animation,Not Started,,
Onboarding Funnel,Simulate full merchant onboarding funnel,Not Started,,
Onboarding Funnel,Detect dropoff points in onboarding flow,Not Started,,
Onboarding Funnel,Trigger emails/SMS based on onboarding actions,Not Started,,
